cars_available,rain_mm,distance_km,time_of_day_code,traffic_level_code,price_usd
25,0,13.8,2,0,23.59
7,15,4.6,1,3,39.98
33,0,8.1,0,0,14.61
14,5,11.2,3,2,36.57
5,0,2.9,1,2,22.03
21,0,9.5,4,1,21.05
3,20,6.7,3,3,48.77
18,0,18.2,2,1,32.69
9,10,7.3,1,2,35.34
38,0,3.1,2,0,7.31
12,0,15.9,4,1,31.06
2,25,5.8,3,3,49.19
29,0,1.9,0,0,5.00
6,0,8.4,1,2,31.75
16,10,12.1,3,1,33.15
31,0,14.7,4,0,24.18
4,15,6.2,1,3,44.70
23,0,4.3,2,0,9.33
11,5,10.8,3,2,36.14
19,0,17.6,0,0,28.81
8,0,5.5,1,2,26.43
27,0,1.5,4,1,9.08
3,20,7.1,3,3,49.88
36,0,9.9,2,0,17.46
13,10,14.4,4,1,36.63
5,0,3.3,1,2,22.99
17,5,11.7,3,2,37.60
22,0,16.8,0,0,27.34
4,15,6.6,1,3,45.48
30,0,2.2,2,0,6.21
